"Protein Group","Accession","Description","logFC","AveExpr","t","P.Value","adj.P.Val","B"
435,"Q04941|PLP2_HUMAN","Proteolipid protein 2 OS=Homo sapiens GN=PLP2 PE=1 SV=1",0.466296410342135,13.5815660074344,1.86663926824591,0.0821175943632746,0.272747724135162,-4.40713394971687
525,"P34810|CD68_HUMAN","Macrosialin OS=Homo sapiens GN=CD68 PE=1 SV=2",2.06418763615368,7.22713287815904,1.35191133857747,0.196929634695908,0.406987911704877,-5.09908798758676
369,"P30511|HLAF_HUMAN","HLA class I histocompatibility antigen, alpha chain F OS=Homo sapiens GN=HLA-F PE=2 SV=3",1.56396070356244,13.328382203225,0.633464604577681,0.540199333108992,0.7776684452301,-5.75356721605909
397,"P13762|DRB4_HUMAN","HLA class II histocompatibility antigen, DR beta 4 chain OS=Homo sapiens GN=HLA-DRB4 PE=1 SV=2",0.157052899044466,11.1434858996984,0.0734873746322663,0.942681165009172,0.970232884470208,-5.95223695109453
165,"Q5TFQ8|SIRBL_HUMAN","Signal-regulatory protein beta-1 isoform 3 OS=Homo sapiens GN=SIRPB1 PE=1 SV=1",0.2125247320851,9.97293675501369,0.244671896409828,0.810107938917186,0.918895313756029,-5.92517242705197
165,"P78324|SHPS1_HUMAN","Tyrosine-protein phosphatase non-receptor type substrate 1 OS=Homo sapiens GN=SIRPA PE=1 SV=2",0.2125247320851,9.97293675501369,0.244671896409828,0.810107938917186,0.918895313756029,-5.92517242705197
765,"Q9P1A6|DLGP2_HUMAN","Disks large-associated protein 2 OS=Homo sapiens GN=DLGAP2 PE=1 SV=4",-1.43011269384011,7.66816930350122,-0.609299432305873,0.551893735324587,0.7776684452301,-5.77197456392607
101,"Q8NFQ8|TOIP2_HUMAN","Torsin-1A-interacting protein 2 OS=Homo sapiens GN=TOR1AIP2 PE=1 SV=1",0.528823941420793,7.99168733357634,0.36606931374219,0.719551284892761,0.905436211319374,-5.88843709553682
732,"Q66K14|TBC9B_HUMAN","TBC1 domain family member 9B OS=Homo sapiens GN=TBC1D9B PE=1 SV=3",0.156159828356585,5.77624905741964,0.137929963639811,0.89217569257048,0.953705050678789,-5.9454917563028
339,"Q9H0U3|MAGT1_HUMAN","Magnesium transporter protein 1 OS=Homo sapiens GN=MAGT1 PE=1 SV=1",0.550137927511607,11.718841516536,1.40056613712989,0.182189489317681,0.400795583338451,-5.04042516888048
201,"P05107|ITB2_HUMAN","Integrin beta-2 OS=Homo sapiens GN=ITGB2 PE=1 SV=2",0.0844266655862072,19.401477862144,0.393864540220262,0.699360376065691,0.903340485751517,-5.87800750404364
440,"Q9UGN4|CLM8_HUMAN","CMRF35-like molecule 8 OS=Homo sapiens GN=CD300A PE=1 SV=2",2.50916738514277,11.0903351066741,2.28516807646348,0.0380726644000642,0.172615092781895,-3.7557586874717
375,"P11215|ITAM_HUMAN","Integrin alpha-M OS=Homo sapiens GN=ITGAM PE=1 SV=2",0.115963386665404,12.2857343771242,0.231556034103252,0.820089366040327,0.918895313756029,-5.92827622328637
733,"Q8N6G6|ATL1_HUMAN","ADAMTS-like protein 1 OS=Homo sapiens GN=ADAMTSL1 PE=1 SV=4",0.126635300527861,10.5436997382642,0.0854479819479725,0.933137188494723,0.970232884470208,-5.95132075788998
749,"P13765|DOB_HUMAN","HLA class II histocompatibility antigen, DO beta chain OS=Homo sapiens GN=HLA-DOB PE=1 SV=1",0.193307501066872,15.856836385463,0.065069091305664,0.949367661148268,0.970232884470208,-5.95280841197229
671,"Q9UPI3|FLVC2_HUMAN","Feline leukemia virus subgroup C receptor-related protein 2 OS=Homo sapiens GN=FLVCR2 PE=1 SV=1",2.67492095577818,7.02509796262393,2.04380548803912,0.059405264544604,0.220987584105927,-4.1377761086306
8,"P35613|BASI_HUMAN","Basigin OS=Homo sapiens GN=BSG PE=1 SV=2",-1.05480121435412,10.1990614102738,-0.931730446629326,0.366593304489086,0.577850463008221,-5.53498650605814
238,"Q9H3Z4|DNJC5_HUMAN","DnaJ homolog subfamily C member 5 OS=Homo sapiens GN=DNAJC5 PE=1 SV=1",-1.61861770105213,11.3753896202057,-1.3981334570909,0.185314086919929,0.400795583338451,-5.04342317891719
681,"Q9UIB8|SLAF5_HUMAN","SLAM family member 5 OS=Homo sapiens GN=CD84 PE=1 SV=1",0.14735386455899,12.7878583058918,0.512272463176173,0.616104229245275,0.842613137056038,-5.82527363344195
737,"P48426|PI42A_HUMAN","Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha OS=Homo sapiens GN=PIP4K2A PE=1 SV=2",1.62841191153486,7.15450362902746,1.30265431798555,0.212820053041734,0.412338852768359,-5.15686071393838
417,"Q8IV08|PLD3_HUMAN","Phospholipase D3 OS=Homo sapiens GN=PLD3 PE=1 SV=1",1.04849853860574,9.82910634240918,1.01653445594107,0.325887470450778,0.531711135998638,-5.45790490144687
622,"P60059|SC61G_HUMAN","Protein transport protein Sec61 subunit gamma OS=Homo sapiens GN=SEC61G PE=1 SV=1",0.00449667626858208,15.1511585903124,0.0178563346646237,0.985994639122797,0.985994639122797,-5.9548188035161
62,"P04843|RPN1_HUMAN","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Homo sapiens GN=RPN1 PE=1 SV=1",-3.01757167759938,9.35540364517577,-2.17622734689527,0.0463568332120221,0.187442847335568,-3.92822016911252
52,"Q96AG4|LRC59_HUMAN","Leucine-rich repeat-containing protein 59 OS=Homo sapiens GN=LRRC59 PE=1 SV=1",-0.567384011467368,13.7730393213166,-1.73237595397413,0.104221626727467,0.313900614421919,-4.60168050530582
552,"Q9P0U1|TOM7_HUMAN","Mitochondrial import receptor subunit TOM7 homolog OS=Homo sapiens GN=TOMM7 PE=1 SV=1",1.82472831015897,5.87679541497386,1.26593043292958,0.225320452641245,0.416586549475072,-5.1988474563788
423,"P01906|DQA2_HUMAN","HLA class II histocompatibility antigen, DQ alpha 2 chain OS=Homo sapiens GN=HLA-DQA2 PE=1 SV=2",-1.99552388908679,6.79017863825278,-1.30418382312609,0.212311654213755,0.412338852768359,-5.15509170964623
725,"P03928|ATP8_HUMAN","ATP synthase protein 8 OS=Homo sapiens GN=MT-ATP8 PE=1 SV=1",3.4790510831246,9.24852555369875,2.43761495298261,0.0280601910508697,0.153505751042993,-3.49752419996808
137,"Q13740|CD166_HUMAN","CD166 antigen OS=Homo sapiens GN=ALCAM PE=1 SV=2",-0.320174562966656,12.1052063095464,-0.441453439292686,0.665493203064306,0.884155255499721,-5.85828826320053
593,"Q9Y286|SIGL7_HUMAN","Sialic acid-binding Ig-like lectin 7 OS=Homo sapiens GN=SIGLEC7 PE=1 SV=1",-0.434897955101318,9.33001128857883,-0.274300064347154,0.787688153110426,0.918895313756029,-5.91753776883105
418,"Q96J42|TXD15_HUMAN","Thioredoxin domain-containing protein 15 OS=Homo sapiens GN=TXNDC15 PE=1 SV=1",-2.56718211789419,9.57503828261366,-2.28298235050323,0.0378322756317054,0.172615092781895,-3.75481784363437
129,"P13747|HLAE_HUMAN","HLA class I histocompatibility antigen, alpha chain E OS=Homo sapiens GN=HLA-E PE=1 SV=3",0.197256932372731,12.915691481803,0.514016340024781,0.614914358758954,0.842613137056038,-5.82439744215468
269,"P13761|2B17_HUMAN","HLA class II histocompatibility antigen, DRB1-7 beta chain OS=Homo sapiens GN=HLA-DRB1 PE=1 SV=1",-0.237972683431614,5.98276013379661,-0.186421760041911,0.854673643504818,0.935113515834683,-5.93765912342302
269,"Q9TQE0|2B19_HUMAN","HLA class II histocompatibility antigen, DRB1-9 beta chain OS=Homo sapiens GN=HLA-DRB1 PE=1 SV=1",-0.237972683431614,5.98276013379661,-0.186421760041911,0.854673643504818,0.935113515834683,-5.93765912342302
53,"Q5ZPR3|CD276_HUMAN","CD276 antigen OS=Homo sapiens GN=CD276 PE=1 SV=1",-4.29581521610612,8.70829407962656,-2.26740191434056,0.0389776015959117,0.172615092781895,-3.78035441969894
353,"Q8NHJ6|LIRB4_HUMAN","Leukocyte immunoglobulin-like receptor subfamily B member 4 OS=Homo sapiens GN=LILRB4 PE=1 SV=3",0.496634359157467,14.6249643587995,0.617107588670851,0.548316720175158,0.7776684452301,-5.76586418232802
