"sheet","tested","FDR_lt_0_05","up_in_EXMac","LOD","detection_filter"
"5A_CoCulture_SE_Light",1111,12,11,10.7972985,"EXMac>=2"
"5B_CoCulture_SE_Heavy",93,8,8,16.3872185,"EXMac>=2"
