"sheet","tested","FDR_lt_0_05","up_in_UE","LOD","detection_filter"
"5A_CoCulture_SE_Light",160,80,77,6.8693915,"UE>=2"
"5B_CoCulture_SE_Heavy",57,39,1,20.1977,"UE>=2"
