"Protein Group","Accession","Description","logFC","AveExpr","t","P.Value","adj.P.Val","B"
54,"P50993|AT1A2_HUMAN","Sodium/potassium-transporting ATPase subunit alpha-2 OS=Homo sapiens GN=ATP1A2 PE=1 SV=1",0.267221941920271,15.4302345666866,1.30308194754032,0.213626986291287,0.424602068862533,-5.51310049970412
405,"Q9Y3B3|TMED7_HUMAN","Transmembrane emp24 domain-containing protein 7 OS=Homo sapiens GN=TMED7 PE=1 SV=2",0.45764217990558,14.8181326908733,1.58024587609202,0.13643173342243,0.342540234624341,-5.15364905455
727,"Q9GZY8|MFF_HUMAN","Mitochondrial fission factor OS=Homo sapiens GN=MFF PE=1 SV=1",0.148884033282425,11.4338951887528,0.506289071251973,0.620553383042152,0.774645852314417,-6.21229113759659
43,"P07355|ANXA2_HUMAN","Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2",0.263473665591142,20.9457314584208,1.379355758393,0.189478154583457,0.397189112721172,-5.41929663732525
892,"Q9NVC3|S38A7_HUMAN","Putative sodium-coupled neutral amino acid transporter 7 OS=Homo sapiens GN=SLC38A7 PE=1 SV=1",0.266224038409623,9.19917137720895,0.369094357882331,0.717594260986045,0.844541550800313,-6.27380331057023
981,"Q9UBY8|CLN8_HUMAN","Protein CLN8 OS=Homo sapiens GN=CLN8 PE=1 SV=3",0.542262117346576,10.8448101629141,1.18668548697172,0.255150844916505,0.469695458409467,-5.64815757962668
202,"Q8N423|LIRB2_HUMAN","Leukocyte immunoglobulin-like receptor subfamily B member 2 OS=Homo sapiens GN=LILRB2 PE=1 SV=4",2.02373431945908,13.5282341935933,1.1403753976761,0.276108363363447,0.493177478612201,-5.69692068056654
318,"P78410|BT3A2_HUMAN","Butyrophilin subfamily 3 member A2 OS=Homo sapiens GN=BTN3A2 PE=1 SV=2",0.138906889518829,12.9654060430705,0.499176549989804,0.625427625553385,0.778107605811658,-6.21593894289688
862,"P56589|PEX3_HUMAN","Peroxisomal biogenesis factor 3 OS=Homo sapiens GN=PEX3 PE=1 SV=1",1.74856192509633,5.22165761311144,1.24105591384528,0.235032162429464,0.44712454188208,-5.58631868086734
24,"P30504|1C04_HUMAN","HLA class I histocompatibility antigen, Cw-4 alpha chain OS=Homo sapiens GN=HLA-C PE=1 SV=1",0.228020113341804,7.67093313313023,0.0879016616205982,0.931203093905254,0.975111898885987,-6.34022174855498
129,"P63010|AP2B1_HUMAN","AP-2 complex subunit beta OS=Homo sapiens GN=AP2B1 PE=1 SV=1",0.536515074903919,15.0862525492177,1.86415194553979,0.083461300271771,0.284925689307832,-4.73763065221803
