"Protein Group","Accession","Description","logFC","AveExpr","t","P.Value","adj.P.Val","B"
3533,"Q9NTJ3|SMC4_HUMAN","Structural maintenance of chromosomes protein 4 OS=Homo sapiens OX=9606 GN=SMC4 PE=1 SV=2",2.60935485147721,4.99470791932233,1.29058126265359,0.202749976340083,0.466975480265636,-5.03965933203665
3534,"Q9NX62|IMPA3_HUMAN","Golgi-resident adenosine 3',5'-bisphosphate 3'-phosphatase OS=Homo sapiens OX=9606 GN=BPNT2 PE=1 SV=1",-1.87328415416239,11.8525174720173,-1.96661266715492,0.0547574553106485,0.366768875860716,-4.07577595294314
3535,"P56182|RRP1_HUMAN","Ribosomal RNA processing protein 1 homolog A OS=Homo sapiens OX=9606 GN=RRP1 PE=1 SV=1",-3.63029317732241,8.01741930735207,-1.88385732918681,0.0653710521115293,0.371812187766828,-4.2125770190966
3537,"L0R6Q1|S35U4_HUMAN","SLC35A4 upstream open reading frame protein OS=Homo sapiens OX=9606 GN=SLC35A4 PE=3 SV=1",-4.01737196652299,7.04389812700208,-2.02684423198598,0.0479954917788154,0.354698763841406,-3.97309405225221
3538,"Q9C0C9|UBE2O_HUMAN","(E3-independent) E2 ubiquitin-conjugating enzyme OS=Homo sapiens OX=9606 GN=UBE2O PE=1 SV=3",-3.80904445352821,6.67033270363238,-1.88544352931484,0.0651522503341474,0.371812187766828,-4.2100020214634
3540,"Q9Y6D9|MD1L1_HUMAN","Mitotic spindle assembly checkpoint protein MAD1 OS=Homo sapiens OX=9606 GN=MAD1L1 PE=1 SV=2",-2.71551112671467,8.96569599098197,-1.49873070434952,0.140193919664904,0.417059468717294,-4.78123344386728
3541,"O00115|DNS2A_HUMAN","Deoxyribonuclease-2-alpha OS=Homo sapiens OX=9606 GN=DNASE2 PE=1 SV=2",1.84184000863288,11.9449673880765,1.32955839646646,0.199397528258373,0.464645177646718,-4.9927063578497
3542,"P63279|UBC9_HUMAN","SUMO-conjugating enzyme UBC9 OS=Homo sapiens OX=9606 GN=UBE2I PE=1 SV=1",-0.923748776428919,13.6437990735454,-1.39061948877144,0.170463181996151,0.441216901957586,-4.91988158135959
3542,"#CONTAM#UBE2I_HUMAN|",">sp|UBE2I_HUMAN|",-0.923748776428919,13.6437990735454,-1.39061948877144,0.170463181996151,0.441216901957586,-4.91988158135959
3547,"Q8NI36|WDR36_HUMAN","WD repeat-containing protein 36 OS=Homo sapiens OX=9606 GN=WDR36 PE=1 SV=1",-2.41804406087469,8.2603680684507,-1.27679084813859,0.20753927302207,0.467750732028288,-5.05552034664858
3549,"P02766|TTHY_HUMAN","Transthyretin OS=Homo sapiens OX=9606 GN=TTR PE=1 SV=1",6.2566879567088,7.03204349057029,3.15721612607205,0.00269174578694711,0.172232339720537,-1.61509814820261
3550,"A6NHL2|TBAL3_HUMAN","Tubulin alpha chain-like 3 OS=Homo sapiens OX=9606 GN=TUBAL3 PE=1 SV=2",2.0500961401425,5.16149971098833,0.852196730227447,0.401117244375225,0.612701093516076,-5.4616383768957
3551,"P23434|GCSH_HUMAN","Glycine cleavage system H protein, mitochondrial OS=Homo sapiens OX=9606 GN=GCSH PE=1 SV=2",-1.7510970887473,11.3974762843437,-1.31555897081495,0.197687514578427,0.464106161503158,-5.0099527360508
3552,"O00422|SAP18_HUMAN","Histone deacetylase complex subunit SAP18 OS=Homo sapiens OX=9606 GN=SAP18 PE=1 SV=1",-0.631011734570432,12.029630990612,-0.692074538252491,0.492073136627378,0.673882034802581,-5.57779033300515
3553,"P84243|H33_HUMAN","Histone H3.3 OS=Homo sapiens OX=9606 GN=H3-3A PE=1 SV=2",3.56607754050035,10.7526347370511,2.54315280175366,0.014106489038971,0.284531131458015,-2.99148737347952
3553,"Q71DI3|H32_HUMAN","Histone H3.2 OS=Homo sapiens OX=9606 GN=H3C15 PE=1 SV=3",3.56607754050035,10.7526347370511,2.54315280175366,0.014106489038971,0.284531131458015,-2.99148737347952
3553,"P68431|H31_HUMAN","Histone H3.1 OS=Homo sapiens OX=9606 GN=H3C1 PE=1 SV=2",3.56607754050035,10.7526347370511,2.54315280175366,0.014106489038971,0.284531131458015,-2.99148737347952
3553,"Q16695|H31T_HUMAN","Histone H3.1t OS=Homo sapiens OX=9606 GN=H3-4 PE=1 SV=3",4.80060989405226,8.05103156108304,2.36856886868807,0.0217385494873217,0.302426637993535,-3.34295152009335
3553,"Q6NXT2|H3C_HUMAN","Histone H3.3C OS=Homo sapiens OX=9606 GN=H3-5 PE=1 SV=3",1.87226547964774,9.52044722584017,1.10568454809879,0.2741237323677,0.512140291203772,-5.2390006676435
3554,"Q9BPX6|MICU1_HUMAN","Calcium uptake protein 1, mitochondrial OS=Homo sapiens OX=9606 GN=MICU1 PE=1 SV=1",-2.93917962612679,9.89042211911406,-1.72665090316389,0.0903681388566667,0.381160274854216,-4.45846755797381
3557,"P56377|AP1S2_HUMAN","AP-1 complex subunit sigma-2 OS=Homo sapiens OX=9606 GN=AP1S2 PE=1 SV=1",2.78332975342577,8.64425078644192,1.28267475012447,0.207785713698542,0.467753041084616,-5.04814235913546
3558,"Q16563|SYPL1_HUMAN","Synaptophysin-like protein 1 OS=Homo sapiens OX=9606 GN=SYPL1 PE=1 SV=1",-2.96549769740467,10.9181313614063,-1.70141845910588,0.103042734060958,0.387142333108459,-4.51290640536183
3560,"P53384|NUBP1_HUMAN","Cytosolic Fe-S cluster assembly factor NUBP1 OS=Homo sapiens OX=9606 GN=NUBP1 PE=1 SV=2",1.38991269606646,4.33994243286055,0.717635160742975,0.476302138803981,0.664298814708445,-5.56124828793792
3561,"Q9NY61|AATF_HUMAN","Protein AATF OS=Homo sapiens OX=9606 GN=AATF PE=1 SV=1",0.885247199293724,6.56776415133658,0.425283210742469,0.672444274053515,0.798956548509929,-5.71513567136019
3562,"Q9BVC6|TM109_HUMAN","Transmembrane protein 109 OS=Homo sapiens OX=9606 GN=TMEM109 PE=1 SV=1",0.42193801006291,12.9554641748647,0.576209834200467,0.567042903457689,0.726428847469443,-5.64538465275099
