"Protein Group","Accession","Description","logFC","AveExpr","t","P.Value","adj.P.Val","B"
3446,"Q9BRP1|PDD2L_HUMAN","Programmed cell death protein 2-like OS=Homo sapiens OX=9606 GN=PDCD2L PE=1 SV=1",3.13306272990389,4.52338360415873,2.28777822433444,0.0328906451100409,0.0413145134334935,-3.66248281795688
3447,"Q9UHB7|AFF4_HUMAN","AF4/FMR2 family member 4 OS=Homo sapiens OX=9606 GN=AFF4 PE=1 SV=1",3.34915150159305,4.63142799000331,2.36011618740456,0.0282716349273993,0.0365435533348243,-3.53537452726069
3448,"Q71UM5|RS27L_HUMAN","40S ribosomal protein S27-like OS=Homo sapiens OX=9606 GN=RPS27L PE=1 SV=3",3.73280307382543,4.8232537761195,2.43422642403189,0.0241678222737615,0.0321958878041459,-3.4029753657115
3449,"Q9BQ61|TRIR_HUMAN","Telomerase RNA component interacting RNase OS=Homo sapiens OX=9606 GN=TRIR PE=1 SV=1",4.74844127651296,5.33107287746326,3.18904889296959,0.00450791229628959,0.0068734504319663,-1.95719454908006
3450,"Q96GC5|RM48_HUMAN","39S ribosomal protein L48, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL48 PE=1 SV=2",8.12490867711149,7.01930657776253,10.8226788117151,6.23152556632004e-10,1.97459863624133e-09,10.861702672503
3451,"P52298|NCBP2_HUMAN","Nuclear cap-binding protein subunit 2 OS=Homo sapiens OX=9606 GN=NCBP2 PE=1 SV=1",6.94540104873815,6.42955276357586,6.45579910591063,2.39143836751677e-06,6.0612493185909e-06,4.55118814342823
3452,"O95905|ECD_HUMAN","Protein ecdysoneless homolog OS=Homo sapiens OX=9606 GN=ECD PE=1 SV=1",6.09264803092427,6.00317625466892,4.50746186981324,0.000203466095781714,0.000395628519575554,0.752520237175588
3457,"Q96AB3|ISOC2_HUMAN","Isochorismatase domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ISOC2 PE=1 SV=1",-0.731363583178057,8.66037432768889,-0.246256830321655,0.810295468563073,0.817729371944386,-5.88062317669281
3459,"Q9UBV8|PEF1_HUMAN","Peflin OS=Homo sapiens OX=9606 GN=PEF1 PE=1 SV=1",7.15449898212968,6.53410173027162,4.96855597880338,6.89342518918124e-05,0.00014322550986696,1.69322531913022
3460,"Q96GD4|AURKB_HUMAN","Aurora kinase B OS=Homo sapiens OX=9606 GN=AURKB PE=1 SV=3",5.39606862532409,5.65488655186883,3.89219610350169,0.000871198893087101,0.00155499107018328,-0.519537317224246
3461,"Q9ULC3|RAB23_HUMAN","Ras-related protein Rab-23 OS=Homo sapiens OX=9606 GN=RAB23 PE=1 SV=1",2.04731188039067,3.98050817940212,1.66658300288441,0.110799662184166,0.122123876154892,-4.64966757976805
3463,"O43709|BUD23_HUMAN","Probable 18S rRNA (guanine-N(7))-methyltransferase OS=Homo sapiens OX=9606 GN=BUD23 PE=1 SV=2",4.14611530400624,5.0299098912099,2.53105107441171,0.0196393022693785,0.0269271060317334,-3.22688768676177
3464,"Q9Y3D3|RT16_HUMAN","28S ribosomal protein S16, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS16 PE=1 SV=1",2.46788057941238,4.19079252891297,1.71786498975821,0.100885893474419,0.11418358268171,-4.57628748244188
3465,"Q96HR8|NAF1_HUMAN","H/ACA ribonucleoprotein complex non-core subunit NAF1 OS=Homo sapiens OX=9606 GN=NAF1 PE=1 SV=2",4.63270787177066,5.27320617509211,3.06968001107795,0.00592569456566271,0.00880166823989253,-2.19509000432025
3466,"Q9BZF9|UACA_HUMAN","Uveal autoantigen with coiled-coil domains and ankyrin repeats OS=Homo sapiens OX=9606 GN=UACA PE=1 SV=2",3.31701339265627,4.61535893553492,2.35124624528693,0.0288038763241874,0.0371258533137334,-3.55107567524867
3469,"Q9H3H3|CK068_HUMAN","UPF0696 protein C11orf68 OS=Homo sapiens OX=9606 GN=C11orf68 PE=1 SV=3",5.29507203389022,5.60438825615189,3.50789835887976,0.00215087697550979,0.00358014541967691,-1.31104226367903
3470,"O00488|ZN593_HUMAN","Zinc finger protein 593 OS=Homo sapiens OX=9606 GN=ZNF593 PE=1 SV=2",4.35633080243819,5.13501764042588,3.09981753015328,0.00553157825335598,0.00827051505841574,-2.13527688780864
